order_id,product,category,city,quantity,price,status
1001,Laptop,Electronics,Hyderabad,2,65000,Completed
1002,Mobile,Electronics,Bangalore,3,25000,Completed
1003,Chair,Furniture,Mumbai,5,3500,Pending
1004,Table,Furniture,Delhi,2,12000,Completed
1005,Shoes,Fashion,Chennai,4,2500,Completed
1006,Watch,Fashion,Pune,1,8000,Cancelled
1007,TV,Electronics,Hyderabad,1,45000,Completed
1008,Laptop,Electronics,Mumbai,2,65000,Completed
1009,Chair,Furniture,Delhi,3,3500,Pending
1010,Shoes,Fashion,Bangalore,5,2500,Completed
1011,Mobile,Electronics,Chennai,4,25000,Completed
1012,Watch,Fashion,Hyderabad,2,8000,Completed
1013,TV,Electronics,Delhi,1,45000,Completed
1014,Table,Furniture,Pune,3,12000,Cancelled
1015,Laptop,Electronics,Bangalore,1,65000,Completed
1016,Mobile,Electronics,Mumbai,2,25000,Completed
1017,Shoes,Fashion,Delhi,4,2500,Pending
1018,Chair,Furniture,Hyderabad,2,3500,Completed
1019,TV,Electronics,Chennai,1,45000,Completed
1020,Watch,Fashion,Bangalore,3,8000,Completed